id,customer_id,product_id,status,purchase_date,estimated_delivery_date,delivered_date
1,1127,741,shipped,2025-03-12,2025-03-18,
2,1460,862,delivered,2025-05-02,2025-05-12,2025-05-21
3,861,275,delivered,2024-07-07,2024-07-15,2024-07-24
4,1295,954,cancelled,2025-02-13,2025-02-18,
5,1131,279,shipped,2024-08-24,2024-09-02,
6,1096,251,delivered,2024-06-13,2024-06-18,2024-06-29
7,1725,310,delivered,2024-11-21,2024-12-04,2024-12-06
8,1045,720,processing,2023-09-07,2023-09-16,
9,1639,833,processing,2024-11-24,2024-12-01,
10,122,140,processing,2025-04-20,2025-04-26,
11,467,792,delivered,2024-03-16,2024-03-21,2024-04-05
12,1239,546,delivered,2025-02-06,2025-02-16,2025-02-16
13,331,821,processing,2024-08-01,2024-08-07,
14,1483,904,cancelled,2024-01-15,2024-01-25,
15,88,530,cancelled,2023-08-13,2023-08-25,
16,1397,57,cancelled,2025-02-21,2025-02-26,
17,1124,112,cancelled,2024-04-03,2024-04-15,
18,872,5,shipped,2024-05-21,2024-06-01,
19,1688,410,processing,2024-11-04,2024-11-12,
20,131,414,delivered,2023-07-14,2023-07-21,2023-07-26
21,1686,182,processing,2024-08-20,2024-08-27,
22,1333,13,cancelled,2023-10-01,2023-10-06,
23,770,339,delivered,2023-09-06,2023-09-10,2023-09-15
24,344,797,shipped,2023-12-18,2023-12-26,
25,1516,259,processing,2024-06-14,2024-06-27,
26,1438,90,delivered,2025-03-30,2025-04-02,2025-04-03
27,806,616,delivered,2023-09-19,2023-09-28,2023-09-29
28,386,891,cancelled,2023-09-26,2023-10-03,
29,1216,698,cancelled,2024-08-25,2024-08-31,
30,956,250,processing,2024-12-29,2025-01-09,
31,277,255,shipped,2024-02-09,2024-02-21,
32,1185,588,delivered,2023-10-01,2023-10-04,2023-10-17
33,460,898,cancelled,2025-05-03,2025-05-16,
34,1338,971,processing,2024-03-21,2024-03-27,
35,22,108,cancelled,2024-02-18,2024-02-23,
36,253,668,processing,2024-06-10,2024-06-18,
37,748,594,cancelled,2024-05-28,2024-06-04,
38,857,589,shipped,2024-08-27,2024-09-05,
39,1585,485,delivered,2025-06-23,2025-06-26,2025-07-02
40,475,982,cancelled,2023-08-28,2023-09-04,
41,1083,972,delivered,2025-04-28,2025-05-02,2025-05-14
42,511,258,processing,2024-07-21,2024-07-25,
43,1706,639,shipped,2023-11-13,2023-11-26,
44,1500,997,delivered,2024-04-28,2024-05-11,2024-05-18
45,700,903,cancelled,2025-03-22,2025-03-26,
46,976,282,delivered,2025-05-12,2025-05-23,2025-05-26
47,1807,986,delivered,2024-07-25,2024-08-06,2024-08-06
